Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Compliance Report Issued,Non-Compliance Found,Filing Date,Registration Start,Registration End,Registration Status,"If no Registration, why?",Eligibility Start,Eligibility End,Eligibility Status,"If No Eligibility, Why?",Dispute Resolution Start,Dispute Resolution End,Dispute Resolution Status,"If No DR, Why?",Compliance Review Start,Compliance Review End,Compliance Review Status,"If No CR, Why?",Monitoring Start,Monitoring End,Monitoring Status,"If No Monitoring, Why?",Date Closed
4 MW Hydro Power Project Thack Chilas,4 MW Hydro Power Project Thack Chilas,Pakistan,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,no_id_25_24,Closed Without Results,,,Other,Procurement,,FALSE,FALSE,8/26/13,8/26/13,8/27/13,closed_with_outcome,,8/27/13,8/31/13,closed_without_outcome,"Outside of mandate, Forwarded to other body within bank, Outside of mandate",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,8/31/13
"A4 Motorway, Zgorzelec - Krzyowa","A4 Motorway, Zgorzelec - Krzyowa",Poland,EIB Complaints Mechanism,European Investment Bank,SG/E/2015/07,Active,,Project/investment lending,Infrastructure,Other,,FALSE,FALSE,5/20/15,5/20/15,,closed_with_outcome,,,,closed_with_outcome,,,,,,,,,,,,,,
ABCI Investments,ABCI Investments,Netherlands,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_28,Closed Without Results,,,Other,Other,,FALSE,FALSE,1/1/07,,,not_undertaken,,1/1/07,1/31/07,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,1/31/07
ACME Energy-01,ACME Energy-01,India,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_80,Closed Without Results,,,Other,Other,,FALSE,FALSE,7/1/13,,,not_undertaken,,7/1/13,7/31/13,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/13
AD Hydro Power Limited-01/Himachal Pradesh,AD Hydro Power Limited-01/Himachal Pradesh,India,IFC Compliance Advisor/Ombudsman,IFC/MIGA,75,Closed With Results,,Project/investment lending,Energy,"Consultation and disclosure, Cultural heritage, Due diligence, Water",,FALSE,FALSE,10/1/04,,,not_undertaken,,10/1/04,,closed_with_outcome,,3/23/05,,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,7/1/06,2/1/08,closed_with_outcome,,3/31/08
AD Hydro Power Limited-02/Jagat Sukh,AD Hydro Power Limited-02/Jagat Sukh,India,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_13,Closed Without Results,,Project/investment lending,Energy,"Consultation and disclosure, Cultural heritage, Due diligence, Water",,FALSE,FALSE,8/1/05,,,not_undertaken,,8/1/05,9/30/05,closed_without_outcome,Issues previously raised,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,9/30/05
AEF Lesiolo Grain Handlers Limited-01/Nakuru,AEF Lesiolo Grain Handlers Limited-01/Nakuru,Kenya,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_20,Closed Without Results,,Project/investment lending,Manufacturing,Other,,FALSE,FALSE,4/1/06,,,not_undertaken,,4/1/06,4/30/06,closed_without_outcome,"Outside of mandate, Forwarded to other body within bank",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,4/30/06
AES PNG-01/Roku Village,AES PNG-01/Roku Village,Papua New Guinea,IFC Compliance Advisor/Ombudsman,IFC/MIGA,228,Closed Without Results,,Project/investment lending,"Infrastructure, Manufacturing","Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other environmental",,FALSE,FALSE,9/29/14,,,not_undertaken,,9/29/14,10/1/14,closed_with_outcome,,,,not_undertaken,Actor(s) involved refused to participate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,4/30/15
AES Sonel - Electricity Supply,AES Sonel - Electricity Supply,Cameroon,EIB Complaints Mechanism,European Investment Bank,SG/E/2014/01,Closed Without Results,,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Due diligence, Labor, Other environmental",,FALSE,FALSE,1/21/14,1/21/14,1/23/14,closed_with_outcome,,1/23/14,,closed_with_outcome,,,,not_undertaken,Unknown,11/26/14,12/26/14,in_progress,,,,not_undertaken,Case closed in earlier stage,12/31/14
AES Sonel-01/Douala,AES Sonel-01/Douala,Cameroon,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_67,Closed Without Results,,,Other,Other,,FALSE,FALSE,9/1/12,,,not_undertaken,,9/1/12,11/30/12,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,11/30/12
AES Sonel-02/Doula,AES Sonel-02/Doula,Cameroon,IFC Compliance Advisor/Ombudsman,IFC/MIGA,198,Closed Without Results,,Project/investment lending,"Energy, Infrastructure",Labor,,FALSE,FALSE,2/21/13,,,not_undertaken,,2/21/13,3/1/13,closed_with_outcome,,6/1/13,12/1/13,closed_without_outcome,,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,6/30/14
AK Khan WaterHealth-01/Dhaka,AK Khan WaterHealth-01/Dhaka,Bangladesh,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_52,Closed Without Results,,,Other,Other,,FALSE,FALSE,11/1/10,,,not_undertaken,,11/1/10,12/31/10,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,12/31/10
AREDP/ Kabul,AREDP/ Kabul,Afghanistan,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_83,Closed Without Results,,,Other,Other,,FALSE,FALSE,7/1/13,,,not_undertaken,,7/1/13,7/31/13,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/13
AUSA Road Safety and Urban Mobility Program,AUSA Road Safety and Urban Mobility Program,Argentina,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,MICI-AR-2014-081,Closed Without Results,,Project/investment lending,Infrastructure,Pollution,,FALSE,FALSE,8/19/14,8/19/14,8/26/14,closed_with_outcome,,8/26/14,1/31/15,closed_without_outcome,"Outside of mandate, Issues previously raised",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,1/31/15
AccessBank,AccessBank,Azerbaijan,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_72,Closed Without Results,,,Other,Other,,FALSE,FALSE,2/1/13,,,not_undertaken,,2/1/13,2/28/13,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,2/28/13
Aconcagua-01/Santa Barbara,Aconcagua-01/Santa Barbara,Chile,IFC Compliance Advisor/Ombudsman,IFC/MIGA,153,Closed Without Results,,Equity Investment,"Energy, Infrastructure","Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other community health and safety issues, Other environmental",,FALSE,FALSE,11/11/09,,,not_undertaken,,11/11/09,12/4/09,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Case closed in earlier stage,6/30/10
Aden Free Zone Development,Aden Free Zone Development,Yemen,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_10,Closed Without Results,,,Other,Other,,FALSE,FALSE,7/1/05,,,not_undertaken,,7/1/05,7/31/05,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/05
Advanced Project Preparedness for Poverty Reduction - Capacity Building for Bihar Urban Infrastructure Development Project (Subproject 16),Advanced Project Preparedness for Poverty Reduction - Capacity Building for Bihar Urban Infrastructure Development Project (Subproject 16),India,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,no_id_25_8,Closed Without Results,,Advisory services,Infrastructure,Other,,FALSE,FALSE,9/19/12,9/19/12,9/20/12,closed_with_outcome,,9/20/12,9/30/12,closed_without_outcome,"Outside of mandate, Forwarded to other body within bank",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,9/30/12
Africa Investco-01,Africa Investco-01,Mauritius,IFC Compliance Advisor/Ombudsman,IFC/MIGA,186,Closed With Results Outside Process,,"Equity Investment, Financial intermediary","Infrastructure, Other","Consultation and disclosure, Labor",,FALSE,FALSE,3/28/12,,,not_undertaken,,3/28/12,4/18/12,closed_with_outcome,,,,not_undertaken,Addressed outside process,,,not_undertaken,Addressed outside process,,,not_undertaken,Case closed in earlier stage,9/30/12
African Bank,African Bank,South Africa,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_18,Closed Without Results,,,Other,Other,,FALSE,FALSE,12/1/05,,,not_undertaken,,12/1/05,1/31/06,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,1/31/06
Africap Investment Fund,Africap Investment Fund,Mozambique,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_53,Closed Without Results,,,Other,Other,,FALSE,FALSE,12/1/10,,,not_undertaken,,12/1/10,12/31/10,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,12/31/10
Agri-Vie Fund-01/Kiboga,Agri-Vie Fund-01/Kiboga,Uganda,IFC Compliance Advisor/Ombudsman,IFC/MIGA,180,Monitoring,,"Equity Investment, Financial intermediary","Agribusiness, Forestry","Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Property damage",,FALSE,FALSE,12/20/11,,,not_undertaken,,12/20/11,1/4/12,closed_with_outcome,,4/1/12,5/1/14,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,5/1/14,,in_progress,,
Agri-Vie Fund-02/Mubende,Agri-Vie Fund-02/Mubende,Uganda,IFC Compliance Advisor/Ombudsman,IFC/MIGA,181,Monitoring,,"Equity Investment, Financial intermediary","Agribusiness, Forestry","Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Property damage",,FALSE,FALSE,12/20/11,,,not_undertaken,,12/20/11,1/4/12,closed_with_outcome,,4/1/12,7/1/13,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,7/1/13,,in_progress,,
Agricultural Competitiveness Program,Agricultural Competitiveness Program,Jamaica,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,MICI-JA-2012-054,Closed Without Results,,,Other,Other,,FALSE,FALSE,12/1/12,12/1/12,,closed_without_outcome,,,,not_undertaken,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,
Agrifood Health and Quality Management Program (CCLIP),Agrifood Health and Quality Management Program (CCLIP),Argentina,IDB Independent Consultation and Investigation Mechanism,Inter-American Development Bank,AR-MICI004-2012,Closed With Results,,Project/investment lending,Agribusiness,"Consultation and disclosure, Other community health and safety issues, Other environmental",,FALSE,FALSE,1/12/12,1/12/12,1/23/12,closed_with_outcome,,1/23/12,4/23/12,closed_with_outcome,,,,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,,8/31/12,closed_with_outcome,,8/31/12
Agrokasa-01/Ica,Agrokasa-01/Ica,Peru,IFC Compliance Advisor/Ombudsman,IFC/MIGA,139,Closed With Results,,Project/investment lending,Agribusiness,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Pollution, Water",,TRUE,TRUE,6/2/09,,,not_undertaken,,6/2/09,6/1/09,closed_with_outcome,,12/1/09,11/1/10,closed_with_outcome,,6/1/10,12/1/11,closed_with_outcome,,11/1/10,6/1/13,closed_with_outcome,,6/30/13
Ak Altin Agricultural Development Project,Ak Altin Agricultural Development Project,Uzbekistan,ADB Special Project Facilitator and Compliance Review Panel,Asian Development Bank,no_id_25_16,Closed Without Results,,Project/investment lending,Other,Other,,FALSE,FALSE,3/4/13,3/4/13,3/5/13,closed_with_outcome,,3/5/13,3/31/13,closed_without_outcome,"Outside of mandate, Forwarded to other body within bank",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,3/31/13
Albania Hydros-01/Tirana,Albania Hydros-01/Tirana,Albania,IFC Compliance Advisor/Ombudsman,IFC/MIGA,194,Closed Without Results,,Advisory services,Energy,"Due diligence, Human rights, Other, Other gender-related issues",,FALSE,FALSE,1/14/13,,,not_undertaken,,1/14/13,1/1/13,closed_with_outcome,,,,not_undertaken,Not desired by complainant,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,3/31/14
Alex Dev-01/Wadi al-Qamar,Alex Dev-01/Wadi al-Qamar,Egypt,IFC Compliance Advisor/Ombudsman,IFC/MIGA,234,Active,,Equity Investment,Manufacturing,"Consultation and disclosure, Due diligence, Labor, Other community health and safety issues, Pollution",,FALSE,FALSE,4/9/15,,,not_undertaken,,,,,,,,,,5/1/16,,in_progress,,,,,,
Alqueria-01/Cajica,Alqueria-01/Cajica,Colombia,IFC Compliance Advisor/Ombudsman,IFC/MIGA,201,Active,,"Equity Investment, Project/investment lending","Agribusiness, Manufacturing","Pollution, Water",,FALSE,FALSE,4/11/13,,,not_undertaken,,4/11/13,4/1/13,closed_with_outcome,,8/1/13,6/1/17,in_progress,,,,,,,,,,
Altain Khuder debt & equity,Altain Khuder debt & equity,Mongolia,EBRD Project Complaint Mechanism,European Bank for Reconstruction and Development,2015/01,Closed With Results,,"Equity Investment, Project/investment lending","Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Pollution, Water",,TRUE,TRUE,12/30/14,12/30/14,1/15/15,closed_with_outcome,,1/15/15,8/28/15,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,8/28/15,4/7/17,closed_with_outcome,,,,,,
Alterra,Alterra,Costa Rica,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_35,Closed Without Results,,,Other,Other,,FALSE,FALSE,5/1/08,,,not_undertaken,,5/1/08,5/31/08,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,5/31/08
Amaggi Expansion-01/IFC Executive Vice President Request,Amaggi Expansion-01/IFC Executive Vice President Request,Brazil,IFC Compliance Advisor/Ombudsman,IFC/MIGA,91,Closed With Results,,Project/investment lending,Agribusiness,"Consultation and disclosure, Due diligence, Other environmental",,FALSE,FALSE,11/1/04,,,not_undertaken,,11/1/04,12/1/04,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Mechanism deemed involvement unnecessary,,,not_undertaken,Case closed in earlier stage,6/30/06
Ambatovy,Ambatovy,Madagascar,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_64,Closed Without Results,,,Other,Other,,FALSE,FALSE,6/1/12,,,not_undertaken,,6/1/12,7/31/12,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/12
Ambatovy Nickel Project,Ambatovy Nickel Project,Madagascar,EIB Complaints Mechanism,European Investment Bank,SG/E/2012/04,Active,,Project/investment lending,"Extractives (oil, gas, mining)","Biodiversity, Due diligence, Livelihoods, Other community health and safety issues, Pollution",,FALSE,FALSE,5/9/12,5/9/12,,closed_with_outcome,,,5/9/12,closed_with_outcome,,,,,,,,,,,,,,
Ambuklao-Binga Hydroelectric Power-01/Binga,Ambuklao-Binga Hydroelectric Power-01/Binga,Philippines,IFC Compliance Advisor/Ombudsman,IFC/MIGA,85,Closed With Results,,Project/investment lending,"Energy, Infrastructure","Displacement (physical and/or economic), Indigenous peoples, Labor, Livelihoods",,FALSE,FALSE,6/1/08,,,not_undertaken,,6/1/08,7/1/08,closed_with_outcome,,7/30/08,5/30/09,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,5/1/09,5/1/10,closed_with_outcome,,6/30/10
Andhra Pradesh & Telangana Road Sector Project,Andhra Pradesh & Telangana Road Sector Project,India,WB Inspection Panel,World Bank,105,Closed Without Results,,No IFI involvement,Infrastructure,"Displacement (physical and/or economic), Human rights, Indigenous peoples, Livelihoods",,FALSE,FALSE,12/18/15,12/18/15,12/18/15,closed_without_outcome,,,,not_undertaken,,,,,,,,,,,,,,12/18/15
Angel Infin-01/ Gujarat,Angel Infin-01/ Gujarat,India,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_91,Closed Without Results,,,Other,Other,,FALSE,FALSE,1/1/14,,,not_undertaken,,1/1/14,1/31/14,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,1/31/14
Anima Educacao,Anima Educacao,Brazil,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_54,Closed Without Results,,,Other,Other,,FALSE,FALSE,3/1/11,,,not_undertaken,,3/1/11,4/30/11,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,4/30/11
"Anvil Mining Congo, SARL-01/World Bank President Request","Anvil Mining Congo, SARL-01/World Bank President Request",Democratic Republic of Congo,IFC Compliance Advisor/Ombudsman,IFC/MIGA,94,Closed With Results,,Risk Guarantee,"Extractives (oil, gas, mining)","Due diligence, Human rights, Other retaliation (actual or feared), Violence against the community (by gov't and/or company)",,TRUE,TRUE,7/1/05,,,not_undertaken,,7/1/05,,closed_with_outcome,,,,not_undertaken,Not offered by mechanism,,,closed_with_outcome,,,,not_undertaken,Mechanism deemed involvement unnecessary,2/28/06
