IAM,Year,Country,Project,ID,IAM ID,Filer(s),Environmental Category,Project Company,Project Number,Related Project Number,Project Type,Financial Institution,Project Loan Amount,Sector,Issues,Complaint Status,Filing Date,Registration Start Date,Registration End Date,Eligibility Start Date,Eligibility End Date,Dispute Resolution Start Date,Dispute Resolution End Date,Compliance Review Start Date,Compliance Review End Date,Monitoring Start Date,Monitoring End Date,Compliance Report Issued?,Date Closed,Documents,Hyperlink,Project Date,Project Status,Project Description
ADB CRP,2017,Georgia,Georgia: Nenskra Hydropower Project,2017/4,25,,,,Project Number 49223-001,,,,,,,,7 December 2017,,,,,,,,,,,,,,,,,
ADB CRP,2017,Pakistan,Pakistan: Power Distribution Enhancement Investment Program - Tranche 3,2017/3,25,,,,Loan No. 2972,,,,,,,,15 August 2017,,,,,,,,,,,,,,,,,
ADB CRP,2017,India,India: Rajasthan Renewable Energy Transmission Investment Program- Tranche 2,2017/2,25,,,,Loan Nos. 3482 and 8312,,,,,,,,27 June 2017,,,,,,,,,,,,,,,,,
ADB CRP,2017,People's Republic of China,People's Republic of China: Guangxi Southwestern Cities Development Project,2017/1,25,,,,Loan 2657,,,,,,,,16 February 2017,,,,,,,,,,,,,,,,,
ADB CRP,2016,Georgia,Georgia: Sustainable Urban Transport Investment Program - Tranche 3,2016/3,25,,,,Loan 3063,,,,,,,,10 November 2016,,,,,,,,,,,,,,,,,
ADB CRP,2016,Samoa,Samoa: Promoting Economic Use of Customary Land and Samoa AgriBusiness Support Project,2016/2,25,,,,"TA No. 4712, TA No. 7387, TA No. 8481, and Grant No. 0392",,,,,,,,20 April 2016,,,,,,,,,,,,,,,,,
ADB CRP,2016,Georgia,Georgia: Sustainable Urban Transport Investment Program - Tranche 3,2016/1,25,,,,Loan 3063,,,,,,,,14 March 2016,,,,,,,,,,,,,,,,,
ADB CRP,2015,Cambodia,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,2015/1,25,,,,Loan 2288 and Loan 2602/ Grant 0187 (Supplementary),,,,,,,,7 September 2015,,,,,,,,,,,,,,,,,
ADB CRP,2013,India,Mundra Ultra Mega Power Project,2013/1,25,,,,Loan 2419,,,,,,,,17 October 2013,,,,,,,,,,,,,,,,,
ADB CRP,2012,Cambodia,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia Project,2012/2,25,,,,Loan 2288 and Loan 2602/ Grant 0187 (Supplementary),,,,,,,,28 August 2012,,,,,,,,,,,,,,,,,
ADB CRP,2012,Indonesia,Integrated Citarum Water Resources Management Investment Program - Project 1,2012/1,25,,,,Loans 2500 & 2501(SF)-INO,,,,,,,,30 January 2012,,,,,,,,,,,,,,,,,
ADB CRP,2011,Kyrgyz Republic,CAREC Transport Corridor I (Bishkek-Torugart Road) Project 1,2011/2,25,,,,Grant No. 0123-KGZ,,,,,,,,23 May 2011,,,,,,,,,,,,,,,,,
ADB CRP,2011,Philippines,Visayas Base-Load Power Development Project,2011/1,25,,,,Loan No. 2612-PHI,,,,,,,,25 May 2011,,,,,,,,,,,,,,,,,
ADB CRP,2009,People's Republic of China,Fuzhou Environmental Improvement Project,2009/1,25,,,,Loan No. 2176-PRC,,,,,,,,03 Jun 2009,,,,,,,,,,,,,,,,,
ADB CRP,2004,Nepal,Melamchi Water Supply Project,2004/2,25,,,,Loan No. 1820-NEP (SF),,,,,,,,06 Dec 2004,,,,,,,,,,,,,,,,,
ADB CRP,2004,Sri Lanka,Southern Transport Development Project,2004/1,25,,,,Loan No. 1711-SRI (SF),,,,,,,,02 Dec 2004,,,,,,,,,,,,,,,,,
