IAM,Year,Country,Project,ID,IAM ID,Filer(s),Environmental Category,Project Company,Project Number,Related Project Number,Project Type,Financial Institution,Project Loan Amount,Sector,Issues,Complaint Status,Filing Date,Registration Start Date,Registration End Date,Eligibility Start Date,Eligibility End Date,Dispute Resolution Start Date,Dispute Resolution End Date,Compliance Review Start Date,Compliance Review End Date,Monitoring Start Date,Monitoring End Date,Compliance Report Issued?,Date Closed,Documents,Hyperlink,Project Date,Project Status,Project Description
ADB SPF,,Pakistan,Flood Emergency Reconstruction and Resilience Project,,25,,,,49038-001,,,"Loan
Technical Assistance",,,"Agriculture, natural resources and rural development",,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Pakistan,Peshawar Sustainable Bus Rapid Transit Corridor Project,,25,,,,48289-001,,,Technical Assistance,,,Transport,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Pakistan,National Highway Network Development in Balochistan Project,,25,,,,47281-001,,,"Grant
Loan",,,Transport,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Mongolia,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 1,,25,,,,45007-004,,,"Grant
Loan",,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Georgia,GEO: Adjaristsqali Hydropower Project,,25,,,,47919-014,,,"Grant
Loan",,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Bangladesh,SASEC Second Bangladesh–India Electrical Grid Interconnection Project,,25,,,,44192-016,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Armenia,Sustainable Urban Development Investment Program - Tranche 1,,25,,,,42417-023,,,Loan,,,Transport,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kazakhstan,Akmola Electricity Distribution Network Modernization and Expansion Project,,25,,,,46933-014,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kazakhstan,Akmola Electricity Distribution Network Modernization and Expansion Project,,25,,,,46933-014,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kazakhstan,Akmola Electricity Distribution Network Modernization and Expansion Project,,25,,,,46933-014,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kazakhstan,Akmola Electricity Distribution Network Modernization and Expansion Project,,25,,,,46933-014,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kazakhstan,Akmola Electricity Distribution Network Modernization and Expansion Project,,25,,,,46933-014,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kazakhstan,Akmola Electricity Distribution Network Modernization and Expansion Project,,25,,,,46933-014,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kazakhstan,Akmola Electricity Distribution Network Modernization and Expansion Project,,25,,,,46933-014,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kazakhstan,Akmola Electricity Distribution Network Modernization and Expansion Project,,25,,,,46933-014,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kazakhstan,Akmola Electricity Distribution Network Modernization and Expansion Project,,25,,,,46933-014,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kazakhstan,Akmola Electricity Distribution Network Modernization and Expansion Project,,25,,,,46933-014,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kazakhstan,Akmola Electricity Distribution Network Modernization and Expansion Project,,25,,,,46933-014,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kazakhstan,Akmola Electricity Distribution Network Modernization and Expansion Project,,25,,,,46933-014,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kazakhstan,Akmola Electricity Distribution Network Modernization and Expansion Project,,25,,,,46933-014,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
ADB SPF,,Kazakhstan,Akmola Electricity Distribution Network Modernization and Expansion Project,,25,,,,46933-014,,,Loan,,,Energy,,,,,,,,,,,,,,,,,,,Active,
