IAM,Year,Country,Project,ID,IAM ID,Filer(s),Environmental Category,Project Company,Project Number,Related Project Number,Project Type,Financial Institution,Project Loan Amount,Sector,Issues,Complaint Status,Filing Date,Registration Start Date,Registration End Date,Eligibility Start Date,Eligibility End Date,Dispute Resolution Start Date,Dispute Resolution End Date,Compliance Review Start Date,Compliance Review End Date,Monitoring Start Date,Monitoring End Date,Compliance Report Issued?,Date Closed,Documents,Hyperlink,Project Date,Project Status,Project Description
EBRD PCM, 2018,Georgia,Nenskra HPP," 2018/08
 ",26,,17 Mar 2017,,46778,,,,,Power and energy,,,,11/06/2018,,,,,,,,,,,,,https://www.ebrd.com/work-with-us/projects/esia/nenskra-hpp-portage.html,Board Approved,31 Jan 2018,
EBRD PCM,2018,Bosnia and Herzegovina,GrCF - Banja Luka District Heating,"2018/07
 ",26,,B,,49407,,,,,Municipal and environmental infrastructure,,,,17/05/2018,,,,,,,,,,,,,https://www.ebrd.com/work-with-us/projects/psd/grcf-banja-luka-district-heating.html,24 Oct 2017,Disbursing,
EBRD PCM,2018,Bosnia and Herzegovina,Sarajevo Urban Roads Development Project,"2018/06
 ",26,,A,,42889,,,,,Municipal and environmental infrastructure,,,,15/05/2018,,,,,,,,,,,,,https://www.ebrd.com/work-with-us/projects/psd/sarajevo-urban-roads-development-project.html,11 Oct 2011,Repaying,
EBRD PCM,2018,Serbia,EPS Restructuring,"2018/05
 ",26,,B,,47318,,,,,Power and energy,,,,10/05/2018,,,,,,,,,,,,,https://www.ebrd.com/work-with-us/projects/psd/eps-restructuring.html,28 Oct 2015,Repaying,
EBRD PCM,2018,Azerbaijan,Lukoil Shah Deniz Stage II,2018/04,26,,A,,46766,,,,,Natural resources,,,,15/03/2018,,,,,,,,,,,,,https://www.ebrd.com/work-with-us/projects/psd/lukoil-shah-deniz-stage-ii.html,22 Jul 2015,Disbursing,
EBRD PCM,2018,Georgia,Shuakhevi HPP,2018/03,26,,A,,45335,,,,,Power and energy,,,,15/03/2018,,,,,,,,,,,,,https://www.ebrd.com/work-with-us/projects/psd/shuakhevi-hpp.html,30 Apr 2014,Disbursing,
EBRD PCM,2018,Tajikistan,Agroinvestbank Equity Investment,2018/02,26,,FI,,39390,,,,,Financial institutions,,,,15/03/2018,,,,,,,,,,,,,https://www.ebrd.com/work-with-us/projects/psd/agroinvestbank-equity-investment.html,25 Mar 2009,Disbursing,
EBRD PCM,2018,Tajikistan,Kozloduy International Decommissioning Support Fund,2018/01,26,,FI,,39390,,,,,Financial institutions,,,,15/03/2018,,,,,,,,,,,,,https://www.ebrd.com/what-we-do/sectors-and-topics/nuclear-safety/kozloduy.html,25 Mar 2009,Disbursing,
EBRD PCM,2017,Regional,CMI Offshore,2017/10,26,,B,,47096,,,,,Transport,,,,20/10/2017,,,,,,,,,,,,,https://www.ebrd.com/work-with-us/projects/psd/cmi-offshore.html,18 Oct 2017,Board Approved,
EBRD PCM,2017,Bulgaria,BEH Bond Issue,2017/09,26,,B,,48556,,,,,Power and energy,,,,18/10/2017,,,,,,,,,,,,,https://www.ebrd.com/work-with-us/projects/psd/beh-bond-issue.html,20 Jul 2016,Signed,
