IAM,Year,Country,Project,ID,IAM ID,Filer(s),Environmental Category,Project Company,Project Number,Related Project Number,Project Type,Financial Institution,Project Loan Amount,Sector,Issues,Complaint Status,Filing Date,Registration Start Date,Registration End Date,Eligibility Start Date,Eligibility End Date,Dispute Resolution Start Date,Dispute Resolution End Date,Compliance Review Start Date,Compliance Review End Date,Monitoring Start Date,Monitoring End Date,Compliance Report Issued?,Date Closed,Documents,Hyperlink,Project Date,Project Status,Project Description
EIB,2018,France,Grand Contournement Ouest de Strasbourg,SG/E/2018/26,29,Confidential,,,,,,,,,,Admissibility,12/04/2018,12/04/2018,,,,,,,,,,,,,http://www.eib.org/about/accountability/complaints/cases/grand-contournement-ouest-de-strasbourg,,,
EIB,2018,Spain,Spain Gas Network Expansion II,SG/E/2018/23,29,Confidential,,,,,,,,,,Assessment,02/03/2018,02/03/2018,,,,,,,,,,,,,http://www.eib.org/about/accountability/complaints/cases/spain-gas-network-expansion-ii8,,,
EIB,2018,Spain,Spain Gas Network Expansion II,SG/E/2018/22,29,Confidential,,,,,,,,,,Assessment,01/03/2018,01/03/2018,,,,,,,,,,,,,http://www.eib.org/about/accountability/complaints/cases/spain-gas-network-expansion-ii7,,,
EIB,2018,Spain,Spain Gas Network Expansion II,SG/E/2018/21,29,Confidential,,,,,,,,,,Assessment,28/02/2018,28/02/2018,,,,,,,,,,,,,http://www.eib.org/about/accountability/complaints/cases/spain-gas-network-expansion-ii6,,,
EIB,2018,Spain,Spain Gas Network Expansion II,SG/E/2018/20,29,Confidential,,,,,,,,,,Assessment,23/02/2018,23/02/2018,,,,,,,,,,,,,http://www.eib.org/about/accountability/complaints/cases/spain-gas-network-expansion-ii5,,,
EIB,2018,Spain,Spain Gas Network Expansion II,SG/E/2018/18,29,Confidential,,,,,,,,,,Assessment,16/02/2018,16/02/2018,,,,,,,,,,,,,http://www.eib.org/about/accountability/complaints/cases/spain-gas-network-expansion-ii4,,,
EIB,2018,Spain,Spain Gas Network Expansion II,SG/E/2018/17,29,Confidential,,,,,,,,,,Assessment,14/02/2018,14/02/2018,,,,,,,,,,,,,http://www.eib.org/about/accountability/complaints/cases/spain-gas-network-expansion-ii3,,,
EIB,2018,Italy,Trans Adriatic Pipeline,SG/E/2018/19,29,Confidential,,,,,,,,,,Assessment,09/02/2018,09/02/2018,,,,,,,,,,,,,http://www.eib.org/about/accountability/complaints/cases/trans-adriatic-pipeline22,,,
EIB,2018,Spain,Spain Gas Network Expansion II,SG/E/2018/15,29,Confidential,,,,,,,,,,Assessment,06/02/2018,06/02/2018,,,,,,,,,,,,,http://www.eib.org/about/accountability/complaints/cases/spain-gas-network-expansion-ii2,,,
EIB,2018,Italy,Trans Adriatic Pipeline,SG/E/2018/11,29,Confidential,,,,,,,,,,Assessment,06/02/2018,06/02/2018,,,,,,,,,,,,,http://www.eib.org/about/accountability/complaints/cases/trans-adriatic-pipeline21,,,
EIB,2018,Spain,Spain Gas Network Expansion II,SG/E/2018/14,29,Confidential,,,,,,,,,,Assessment,05/02/2018,05/02/2018,,,,,,,,,,,,,http://www.eib.org/about/accountability/complaints/cases/spain-gas-network-expansion-ii1,,,
EIB,2018,Italy,Trans Adriatic Pipeline,SG/E/2018/10,29,Confidential,,,,,,,,,,Assessment,05/02/2018,05/02/2018,,,,,,,,,,,,,http://www.eib.org/about/accountability/complaints/cases/trans-adriatic-pipeline20,,,
