Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Registration,Eligibility,Dispute Resolution,Compliance Review,Monitoring
4 MW Hydro Power Project Thack Chilas,4 MW Hydro Power Project Thack Chilas,Pakistan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,,,Procurement,,8/26/13,8/27/13,,,
"A4 Motorway, Zgorzelec - Krzyowa","A4 Motorway, Zgorzelec - Krzyowa",Poland,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2015/07,Active,,Project/investment lending,Infrastructure,Other,,5/20/15,,,,
ABCI Investments,ABCI Investments,Netherlands,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,1/1/07,,,,
ACME Energy-01,ACME Energy-01,India,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,7/1/13,,,,
AD Hydro Power Limited-01/Himachal Pradesh,AD Hydro Power Limited-01/Himachal Pradesh,India,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,75,Closed With Results,Unknown,Project/investment lending,Energy,"Consultation and disclosure, Cultural heritage, Due diligence, Water",,10/1/04,,,3/23/05,
AD Hydro Power Limited-02/Jagat Sukh,AD Hydro Power Limited-02/Jagat Sukh,India,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,Unknown,Project/investment lending,Energy,"Consultation and disclosure, Cultural heritage, Due diligence, Water",,8/1/05,,,,
AEF Lesiolo Grain Handlers Limited-01/Nakuru,AEF Lesiolo Grain Handlers Limited-01/Nakuru,Kenya,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,Unknown,Project/investment lending,Manufacturing,Other,,4/1/06,,,,
AES PNG-01/Roku Village,AES PNG-01/Roku Village,Papua New Guinea,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,228,Closed Without Results,Unknown,Project/investment lending,"Infrastructure, Manufacturing","Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other environmental",,9/29/14,,10/14/17,,
AES Sonel - Electricity Supply,AES Sonel - Electricity Supply,Cameroon,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2014/01,Closed Without Results,,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Due diligence, Labor, Other environmental",,1/21/14,1/23/14,,,11/26/14
AES Sonel-01/Douala,AES Sonel-01/Douala,Cameroon,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,9/1/12,,,,
AES Sonel-02/Doula,AES Sonel-02/Doula,Cameroon,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,198,Closed Without Results,Unknown,Project/investment lending,"Energy, Infrastructure",Labor,,2/21/13,,3/13/17,6/1/13,
AK Khan WaterHealth-01/Dhaka,AK Khan WaterHealth-01/Dhaka,Bangladesh,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,11/1/10,,,,
AREDP/ Kabul,AREDP/ Kabul,Afghanistan,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,7/1/13,,,,
AUSA Road Safety and Urban Mobility Program,AUSA Road Safety and Urban Mobility Program,Argentina,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-AR-2014-081,Closed Without Results,Unknown,Project/investment lending,Infrastructure,Pollution,,8/19/14,8/26/14,,,
AccessBank,AccessBank,Azerbaijan,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,2/1/13,,,,
Aconcagua-01/Santa Barbara,Aconcagua-01/Santa Barbara,Chile,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,153,Closed Without Results,Unknown,Equity Investment,"Energy, Infrastructure","Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other community health and safety issues, Other environmental",,11/11/09,,12/4/09,,
Aden Free Zone Development,Aden Free Zone Development,Yemen,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,7/1/05,,,,
Advanced Project Preparedness for Poverty Reduction - Capacity Building for Bihar Urban Infrastructure Development Project (Subproject 16),Advanced Project Preparedness for Poverty Reduction - Capacity Building for Bihar Urban Infrastructure Development Project (Subproject 16),India,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Advisory services,Infrastructure,,,9/19/12,9/20/12,,,
Africa Investco-01,Africa Investco-01,Mauritius,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,186,Closed With Results Outside Process,,"Equity Investment, Financial intermediary","Infrastructure, Other","Consultation and disclosure, Labor",,3/28/12,,4/18/12,,
African Bank,African Bank,South Africa,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,12/1/05,,,,
Africap Investment Fund,Africap Investment Fund,Mozambique,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,12/1/10,,,,
Agri-Vie Fund-01/Kiboga,Agri-Vie Fund-01/Kiboga,Uganda,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,180,Monitoring,"Oxfam Great Britain, Oxfam International, Uganda Land Alliance","Equity Investment, Financial intermediary","Agribusiness, Forestry","Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Property damage",,12/20/11,,1/4/12,4/1/12,
Agri-Vie Fund-02/Mubende,Agri-Vie Fund-02/Mubende,Uganda,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,181,Monitoring,"Oxfam Great Britain, Oxfam International, Uganda Land Alliance","Equity Investment, Financial intermediary","Agribusiness, Forestry","Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Property damage",,12/20/11,,1/4/12,4/1/12,
Agricultural Competitiveness Program,Agricultural Competitiveness Program,Jamaica,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-JA-2012-054,Closed Without Results,,,,Other,,12/1/12,,,,
Agrifood Health and Quality Management Program (CCLIP),Agrifood Health and Quality Management Program (CCLIP),Argentina,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-AR-2012-035,Closed With Results,Unknown,Project/investment lending,Agribusiness,"Consultation and disclosure, Other community health and safety issues, Other environmental",,1/12/12,1/23/12,4/23/12,,
Agrokasa-01/Ica,Agrokasa-01/Ica,Peru,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,139,Closed With Results,"Progressio, Water Witness International, Water users' associations of Rio Seco and Ica",Project/investment lending,Agribusiness,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Pollution, Water",,6/2/09,,6/9/17,12/1/09,6/10/17
Ak Altin Agricultural Development Project,Ak Altin Agricultural Development Project,Uzbekistan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,,,,3/4/13,3/5/13,,,
Albania Hydros-01/Tirana,Albania Hydros-01/Tirana,Albania,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,194,Closed Without Results,EDEN Center for Development Education and Networking,Advisory services,Energy,"Due diligence, Human rights, Other, Other gender-related issues",,1/14/13,,1/13/17,,
Alex Dev-01/Wadi al-Qamar,Alex Dev-01/Wadi al-Qamar,Egypt,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,234,Active,Unknown,Equity Investment,Manufacturing,"Consultation and disclosure, Due diligence, Labor, Other community health and safety issues, Pollution",,4/9/15,,4/15/17,,
Alqueria-01/Cajica,Alqueria-01/Cajica,Colombia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,201,Active,Unknown,"Equity Investment, Project/investment lending","Agribusiness, Manufacturing","Pollution, Water",,4/11/13,,4/13/17,8/1/13,
