IAM,Project Name,Project Number,Country,Project Status,Project Financing,Sector
ADB SPF,Peshawar Sustainable Bus Rapid Transit Corridor Project,48289-001,Pakistan,Active,Technical Assistance,Transport
ADB SPF,National Highway Network Development in Balochistan Project,47281-001,Pakistan,Active,"Grant
Loan",Transport
ADB SPF,Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 1,45007-004,Mongolia,Active,"Grant
Loan",Energy
ADB SPF,GEO: Adjaristsqali Hydropower Project,47919-014,Georgia,Active,"Grant
Loan",Energy
ADB SPF,SASEC Second Bangladesh–India Electrical Grid Interconnection Project,44192-016,Bangladesh,Active,Loan,Energy
ADB SPF,Sustainable Urban Development Investment Program - Tranche 1,42417-023,Armenia,Active,Loan,Transport
ADB SPF,Akmola Electricity Distribution Network Modernization and Expansion Project,46933-014,Kazakhstan,Active,Loan,Energy
ADB SPF,Akmola Electricity Distribution Network Modernization and Expansion Project,46933-014,Kazakhstan,Active,Loan,Energy
ADB SPF,Akmola Electricity Distribution Network Modernization and Expansion Project,46933-014,Kazakhstan,Active,Loan,Energy
ADB SPF,Akmola Electricity Distribution Network Modernization and Expansion Project,46933-014,Kazakhstan,Active,Loan,Energy
ADB SPF,Akmola Electricity Distribution Network Modernization and Expansion Project,46933-014,Kazakhstan,Active,Loan,Energy
ADB SPF,Akmola Electricity Distribution Network Modernization and Expansion Project,46933-014,Kazakhstan,Active,Loan,Energy
ADB SPF,Akmola Electricity Distribution Network Modernization and Expansion Project,46933-014,Kazakhstan,Active,Loan,Energy
ADB SPF,Akmola Electricity Distribution Network Modernization and Expansion Project,46933-014,Kazakhstan,Active,Loan,Energy
ADB SPF,Akmola Electricity Distribution Network Modernization and Expansion Project,46933-014,Kazakhstan,Active,Loan,Energy
ADB SPF,Akmola Electricity Distribution Network Modernization and Expansion Project,46933-014,Kazakhstan,Active,Loan,Energy
