IAM,Year,Country,Project,ID,IAM ID,Filer(s),Environmental Category,Project Company,Project Number,Related Project Number,Project Type,Financial Institution,Project Loan Amount,Sector,Issues,Complaint Status,Filing Date,Registration Start Date,Registration End Date,Eligibility Start Date,Eligibility End Date,Dispute Resolution Start Date,Dispute Resolution End Date,Compliance Review Start Date,Compliance Review End Date,Monitoring Start Date,Monitoring End Date,Date Closed,Documents,Hyperlink
MICI,2018,Brazil,São José dos Campos Urban Structuring Program,MICI-BID-BR-2018-0132,24,"A resident of Sao Jose dos Campos, Brazil.",B,,BR-L1160,,Loan Operation,,"USD 85,672,400",URBAN DEVELOPMENT AND HOUSING,,Closed,,,,,,,,,,,,,,"https://idblegacy.iadb.org/en/mici/complaint-detail,19172.html?ID=MICI-BID-BR-2018-0132"
MICI,2018,Ecuador,Program for the Reconstruction of Electricity Infrastructure in Areas Affected by the Earthquake in Ecuador,MICI-BID-EC-2018-0131,24,"Residents of 8 communities in the province of Manabí, Ecuador.",B,,EC-L1219,,Loan Operation,,"USD 60,000,000",ENERGY,,Open,,,,,,,,,,,,,,"https://idblegacy.iadb.org/en/mici/complaint-detail,19172.html?ID=MICI-BID-EC-2018-0131"
MICI,2018,Argentina,Reconquista River Basin Environmental Sanitation Program,MICI-BID-AR-2018-0130,24,A resident of Buenos Aires.,A,,AR-L1121,AR-0038,Loan Operation,,"USD 230,000,000",WATER AND SANITATION,,Closed,,,,,,,,,,,,,,"https://idblegacy.iadb.org/en/mici/complaint-detail,19172.html?ID=MICI-BID-AR-2018-0130"
MICI,2018,Chile,Energy Sustainable Program,MICI-BID-CH-2018-0129,24,"A resident of São Paulo, Brasil.",B,,CH-L1136,,Loan Operation,,"USD 100,000,000",ENERGY,,Closed,,,,,,,,,,,,,,"https://idblegacy.iadb.org/en/mici/complaint-detail,19172.html?ID=MICI-BID-CH-2018-0129"
MICI,2017,Brazil,São José dos Campos Urban Structuring Program,MICI-BID-BR-2017-0128,24,"Eleven residents of Vila Corinthians community, Sao José dos Campos municipality, Brazil.",B,,BR-L1160,,Loan Operation,,"USD 85,672,400",URBAN DEVELOPMENT AND HOUSING,,Closed,,,,,,,,,,,,,,"https://idblegacy.iadb.org/en/mici/complaint-detail,19172.html?ID=MICI-BID-BR-2017-0128"
MICI,2017,Costa Rica,Power Sector Development Program 2012-2016 (Reventazon Hydroelectric Project),MICI-BID-CR-2017-0127,24,"Seven residents of San Joaquin, Santa Marta in Siquirres, Costa Rica representing over 70 families in said community.",A,,CR-L1049,"CR-L1056, CR-T1074",Loan Operation,,"USD 250,000,000",ENERGY,,Closed,,,,,,,,,,,,,,"https://idblegacy.iadb.org/en/mici/complaint-detail,19172.html?ID=MICI-BID-CR-2017-0127"
MICI,2017,Guatemala,Establishing Cadastral Registry & Strengthening Legal Certainty Protected Areas,MICI-BID-GU-2017-0126,24,Confidential.,C,,GU-L1014,GU-T1194,Loan Operation,,"USD 22,000,000",ENVIRONMENT AND NATURAL DISASTERS,,Closed,,,,,,,,,,,,,,"https://idblegacy.iadb.org/en/mici/complaint-detail,19172.html?ID=MICI-BID-GU-2017-0126"
MICI,2017,Costa Rica,Power Sector Development Program 2012-2016 (Reventazon Hydroelectric Project),MICI-BID-CR-2017-0125,24,"Three residents of San Joaquín de Siquirres, Costa Rica.",A,,CR-L1049,"CR-L1056, CR-T1074",Loan Operation,,"USD 250,000,000",ENERGY,,Open,,,,,,,,,,,,,,"https://idblegacy.iadb.org/en/mici/complaint-detail,19172.html?ID=MICI-BID-CR-2017-0125"
MICI,2017,Ecuador,Protection and Recovery of Cultural Heritage Assets program,MICI-BID-EC-2017-0124,24,"Two residents of Mexico City, María José Dávila Tello and Luis Alberto Sánchez Pérez.",B,,EC-L1097,,Loan Operation,,"USD 37,840,000",URBAN DEVELOPMENT AND HOUSING,,Closed,,,,,,,,,,,,,,"https://idblegacy.iadb.org/en/mici/complaint-detail,19172.html?ID=MICI-BID-EC-2017-0124"
MICI,2017,Brazil,Tietê Várzea Program,MICI-BID-BR-2017-0123,24,"A group of residents from the city of Guarulhos, Brazil. The Requesters are represented before MICI by the Public Defender’s Office of the State of São Paulo.",A,,BR-L1216,,Loan Operation,,"USD 115,700,000",WATER AND SANITATION,,Closed,,,,,,,,,,,,,,"https://idblegacy.iadb.org/en/mici/complaint-detail,19172.html?ID=MICI-BID-BR-2017-0123"
MICI,2017,Chile,Alto Maipo Hydroelectric Power Project,MICI-BID-CH-2017-0121,24,Confidential.,A,,CH-L1067,,Loan Operation,,"USD 200,000,000",ENERGY,,Closed,,,,,,,,,,,,,,"https://idblegacy.iadb.org/en/mici/complaint-detail,19172.html?ID=MICI-BID-CH-2017-0121"
MICI,2017,Colombia,Perimetral Oriental de Bogotá Public Private Partnership,MICI-BID-CO-2017-0120,24,"A group of residents of La Calera, Choachí, Ubaque and Caqueza comunities, located in the Cundinamarca Department of Colombia.",A,,CO-L1159,,Loan Operation,,"USD 158,100,000",TRANSPORT,,Closed,,,,,,,,,,,,,,"https://idblegacy.iadb.org/en/mici/complaint-detail,19172.html?ID=MICI-BID-CO-2017-0120"
